collegeAthleteId,nflAthleteId,collegeId,collegeTeam,collegeConference,nflTeam,year,overall,round,pick,name,position,height,weight,preDraftRanking,preDraftPositionRanking,preDraftGrade
4567048,105686,127,Michigan State,Big Ten,Seattle,2022,41,2,9,Ken Walker III,Running Back,69.0,211.0,44.0,2.0,86.0
4426344,105556,228,Clemson,ACC,Minnesota,2022,42,2,10,Andrew Booth Jr.,Cornerback,72.0,194.0,27.0,4.0,89.0
4569587,106066,96,Kentucky,SEC,New York,2022,43,2,11,Wan'Dale Robinson,Wide Receiver,68.0,178.0,80.0,14.0,77.0
4567096,105560,333,Alabama,SEC,Houston,2022,44,2,12,John Metchie III,Wide Receiver,71.0,187.0,55.0,9.0,84.0
4426507,105878,130,Michigan,Big Ten,Baltimore,2022,45,2,13,David Ojabo,Outside Linebacker,76.0,250.0,35.0,1.0,87.0
4259994,105703,96,Kentucky,SEC,Detroit,2022,46,2,14,Josh Paschal,Defensive End,75.0,268.0,52.0,8.0,85.0
4241468,105588,333,Alabama,SEC,Washington,2022,47,2,15,Phidarian Mathis,Defensive Tackle,76.0,310.0,57.0,5.0,83.0
4570044,105585,213,Penn State,Big Ten,Chicago,2022,48,2,16,Jaquan Brisker,Safety,73.0,199.0,65.0,5.0,80.0
4369835,105894,2633,Tennessee,SEC,New Orleans,2022,49,2,17,Alontae Taylor,Cornerback,72.0,199.0,109.0,15.0,70.0
4362921,106107,239,Baylor,Big 12,New England,2022,50,2,18,Tyquan Thornton,Wide Receiver,74.0,181.0,117.0,18.0,69.0
4361178,105982,158,Nebraska,Big Ten,Philadelphia,2022,51,2,19,Cameron Jurgens,Center,75.0,303.0,62.0,2.0,81.0
4426354,105609,61,Georgia,SEC,Pittsburgh,2022,52,2,20,George Pickens,Wide Receiver,75.0,195.0,58.0,10.0,83.0
4360078,105892,2132,Cincinnati,American Athletic,Indianapolis,2022,53,2,21,Alec Pierce,Wide Receiver,75.0,211.0,61.0,11.0,82.0
4430191,106025,2711,Western Michigan,Mid-American,Kansas City,2022,54,2,22,Skyy Moore,Wide Receiver,70.0,195.0,40.0,8.0,87.0
4361307,105563,36,Colorado State,Mountain West,Arizona,2022,55,2,23,Trey McBride,Tight End,76.0,246.0,46.0,1.0,86.0
4567242,105715,145,Ole Miss,SEC,Dallas,2022,56,2,24,Sam Williams,Outside Linebacker,76.0,261.0,99.0,6.0,71.0
4380507,105904,2117,Central Michigan,Mid-American,Tampa Bay,2022,57,2,25,Luke Goedeke,Offensive Tackle,77.0,312.0,72.0,9.0,79.0
4247807,105934,147,Montana State,Big Sky,Atlanta,2022,58,2,26,Troy Andersen,Inside Linebacker,76.0,243.0,92.0,8.0,73.0
4242227,105695,99,LSU,SEC,Minnesota,2022,59,2,27,Ed Ingram,Offensive Guard,75.0,307.0,133.0,9.0,66.0
4361196,105748,158,Nebraska,Big Ten,Cincinnati,2022,60,2,28,Cam Taylor-Britt,Safety,71.0,196.0,71.0,8.0,79.0
4569511,105603,30,USC,Pac-12,San Francisco,2022,61,2,29,Drake Jackson,Outside Linebacker,75.0,254.0,53.0,3.0,84.0
4247726,105705,2132,Cincinnati,American Athletic,Kansas City,2022,62,2,30,Bryan Cook,Safety,73.0,206.0,105.0,10.0,70.0
4379399,105713,61,Georgia,SEC,Buffalo,2022,63,2,31,James Cook,Running Back,71.0,199.0,86.0,3.0,75.0
4360259,105576,201,Oklahoma,Big 12,Denver,2022,64,2,32,Nik Bonitto,Outside Linebacker,75.0,248.0,64.0,4.0,80.0
4035048,106034,96,Kentucky,SEC,Jacksonville,2022,65,3,1,Luke Fortner,Center,76.0,307.0,127.0,4.0,67.0
4360255,105925,201,Oklahoma,Big 12,Minnesota,2022,66,3,2,Brian Asamoah,Inside Linebacker,72.0,226.0,107.0,9.0,70.0
4373280,105623,153,North Carolina,ACC,New York,2022,67,3,3,Joshua Ezeudu,Offensive Guard,76.0,308.0,151.0,11.0,61.0
4429568,105606,344,Mississippi State,SEC,Cleveland,2022,68,3,4,Martin Emerson,Cornerback,74.0,201.0,112.0,16.0,70.0
4361368,105547,194,Ohio State,Big Ten,Tennessee,2022,69,3,5,Nicholas Petit-Frere,Offensive Tackle,77.0,316.0,63.0,8.0,81.0
4361707,105914,2751,Wyoming,Mountain West,Jacksonville,2022,70,3,6,Chad Muma,Inside Linebacker,75.0,239.0,68.0,6.0,79.0
4035693,106028,2633,Tennessee,SEC,Chicago,2022,71,3,7,Velus Jones Jr.,Wide Receiver,72.0,204.0,106.0,17.0,70.0
4245171,105601,265,Washington State,Pac-12,Seattle,2022,72,3,8,Abraham Lucas,Offensive Tackle,78.0,315.0,60.0,7.0,82.0
4241410,105994,258,Virginia,ACC,Indianapolis,2022,73,3,9,Jelani Woods,Tight End,79.0,253.0,87.0,4.0,75.0
4239086,105564,2132,Cincinnati,American Athletic,Atlanta,2022,74,3,10,Desmond Ridder,Quarterback,75.0,211.0,43.0,3.0,86.0
4567099,105578,333,Alabama,SEC,Houston,2022,75,3,11,Christian Harris,Inside Linebacker,73.0,226.0,56.0,4.0,83.0
4362139,105728,41,Connecticut,FBS Independents,Baltimore,2022,76,3,12,Travis Jones,Defensive Tackle,76.0,325.0,42.0,3.0,86.0
4362580,105566,2117,Central Michigan,Mid-American,Indianapolis,2022,77,3,13,Bernhard Raimann,Offensive Tackle,78.0,303.0,51.0,6.0,85.0
4570119,106127,5,UAB,Conference USA,Cleveland,2022,78,3,14,Alex Wright,Defensive End,77.0,271.0,100.0,7.0,71.0
4362917,106054,239,Baylor,Big 12,Los Angeles,2022,79,3,15,JT Woods,Safety,74.0,195.0,82.0,8.0,77.0
4367209,105970,26,UCLA,Pac-12,Denver,2022,80,3,16,Greg Dulcich,Tight End,76.0,243.0,69.0,2.0,79.0
4429607,106088,99,LSU,SEC,New York,2022,81,3,17,Cordale Flott,Cornerback,73.0,175.0,85.0,10.0,76.0
