title,description,date
STROUD FELT SLIGHTED WHEN OSU ADDED EWERS,"In an interview with Maverick Carter and Paul Rivera of The Shop, C.J. Stroud said he felt “disrespected” when Ohio State added Quinn Ewers ahead of the 2021 season.","08 May 2023
by Chase Brown
280 COMMENTS"
BEN CHRISTMAN TRANSFERS TO KENTUCKY,Former Ohio State offensive lineman Ben Christman will head one state south to Kentucky after two seasons in Columbus.,"07 May 2023
by George Eisner
38 COMMENTS"
HARTLINE LOOKS TO UTILIZE JOHNSON MORE,Brian Hartline thinks highly of Xavier Johnson’s ability as both a receiver and a running back and says “it's our job to find ways to use that” in Ohio State’s offense this...,"08 May 2023
by Dan Hope
43 COMMENTS"
STAR-VING,"Ohio State hasn't had a great defense since 2019 and while some blame other factors, a lack of NFL-level talent is the root cause. Does the 2023 defense have the stars to be elite?...","07 May 2023
by Chris Lauderback
73 COMMENTS"
CALEB BURTON TRANSFERS TO AUBURN,"Former Ohio State wide receiver Caleb Burton is headed south, transferring to Auburn after one year with the Buckeyes.","06 May 2023
by Chase Brown
23 COMMENTS"
TRESSEL THROWS FIRST PITCH IN CLEVELAND,Former Ohio State head coach Jim Tressel threw out the ceremonial first pitch at Friday's Cleveland Guardians game in honor of Youngstown State University Night.,"05 May 2023
by Chase Brown
29 COMMENTS"
ROSSI PARTICIPATING IN GIANTS’ MINICAMP,Former Ohio State fullback/tight end Mitch Rossi is trying out for the New York Giants at their rookie minicamp this weekend.,"05 May 2023
by Dan Hope
14 COMMENTS"
A FINAL REVIEW OF OHIO STATE’S 2017 CLASS,"Chase Young, Jeff Okudah, Wyatt Davis and J.K. Dobbins were among the seven All-Americans and 10 NFL draft picks from Ohio State’s highly productive 2017 recruiting class.","05 May 2023
by Dan Hope
22 COMMENTS"
KALEB BROWN TRANSFERRING TO IOWA,"Former Ohio State wide receiver Kaleb Brown is staying in the Big Ten, transferring to Iowa after one year with the Buckeyes.","04 May 2023
by Dan Hope
77 COMMENTS"
JACKSON'S LEADERSHIP CRUCIAL FOR OL,"Donovan Jackson's teammates say he's doing ""the most amazing job"" of leading the Buckeyes this offseason, and it's a role of high importance for OSU's retooled offensive line.","04 May 2023
by Griffin Strom
19 COMMENTS"
LINCOLN KIENHOLZ,"Lincoln Kienholz can lean on his playmaking ability as a dual-threat quarterback as he continues to build on his 6-foot-2, 182-pound frame and adapt to the speed of the college...","04 May 2023
by Josh Poloha
36 COMMENTS"
2023 NFL ALL-BUCKEYE TEAM,"With another new crop of Ohio State alums now in the NFL, we take an updated look at how a 53-man roster of Buckeyes would stack up entering the 2023 NFL season.","04 May 2023
by Dan Hope
29 COMMENTS"
VRABEL VOTED INTO PATRIOTS HALL OF FAME,Ohio State and New England Patriots great Mike Vrabel has been selected as the 2023 player inductee into the Patriots Hall of Fame.,"03 May 2023
by Dan Hope
15 COMMENTS"
"SIMMONS CHOSE OSU FOR COACHES, IMPROVEMENT","Ohio State offensive tackle transfer Josh Simmons said he chose OSU because of the coaching staff and is eager to improve “in every facet,” especially as a run blocker.","03 May 2023
by Garrick Hodge
27 COMMENTS"
CRUMBLIN' DOWN,The Indiana Hoosiers are not even pretending to field a competitive or relevant football program anymore.,"03 May 2023
by Ramzy Nasrallah
76 COMMENTS"
TRANSFER ANALYSIS AND DRAFT RECAP,"We discuss how Josh Simmons and Lorenzo Styles will fit in at Ohio State, recap Ohio State’s 2023 NFL draft and look ahead to what could be a loaded 2024 draft class.","03 May 2023
by Dan Hope and Griffin Strom
1 COMMENT"
OHIO STATE POSTS HIGHEST APR EVER,"Ohio State has an Academic Progress Rate of 993 for the football team and the athletic department as a whole, setting the best marks in school history for both.","02 May 2023
by Dan Hope
33 COMMENTS"
2024-25 CFP GAMES MOSTLY ON WEEKNIGHTS,"The College Football Playoff has finalized bowl dates and time slots for the 2024 and 2025 seasons, which will feature a 12-team playoff for the first time in the sport's history.","02 May 2023
by Chase Brown
101 COMMENTS"
HOW OSU’S DRAFT PICKS FIT THEIR NFL TEAMS,"C.J. Stroud is Houston’s new face of the franchise, Paris Johnson Jr. could play either tackle or guard in Arizona and Jaxon Smith-Njigba gives Seattle an elite trio of...","02 May 2023
by Dan Hope
18 COMMENTS"
JSN “ALL IN” WITH SEAHAWKS,"Jaxon Smith-Njigba thinks he'll contribute to an ""electric"" Seattle Seahawk offense in 2023 and is confident ""I can dominate"" in the NFL.","02 May 2023
by Griffin Strom
15 COMMENTS"
NFL TO AUCTION OFF OSU DRAFT MEMORABILIA,"The NFL will auction off Paris Johnson Jr.'s autographed draft night hat, jersey and helmet to support veterans and student-athletes via The Paris Johnson Jr. Foundation.","30 Apr 2023
by Chase Brown
10 COMMENTS"
“A REALLY SPECIAL FEELING”,"C.J. Stroud believes there's ""no limit"" on what he can accomplish during his rookie year with the Houston Texans and says ""we can turn this whole thing around"" in 2023.","01 May 2023
by Griffin Strom
10 COMMENTS"
VINCENT INVITED TO BILLS ROOKIE CAMP,"After going unselected in the 2023 NFL draft, former Ohio State defensive tackle Taron Vincent’s chance to make a roster will come at the Buffalo Bills’ rookie minicamp.","01 May 2023
by Griffin Strom
5 COMMENTS"
OSU’S 2024 DRAFT CLASS LOOKS LOADED,An early look at the draft-eligible talent on the 2023 roster shows Ohio State could have one of its strongest and deepest draft classes ever in 2024.,"01 May 2023
by Dan Hope
65 COMMENTS"
KALEB BROWN ENTERS TRANSFER PORTAL,"Ohio State wide receiver Kaleb Brown enters the transfer portal, becoming the second member of the Buckeyes’ 2022 wide receiver class to leave the team after spring practices.","30 Apr 2023
by Dan Hope
87 COMMENTS"
BOB KENNEDY PASSES AWAY AT 59,"Bob Kennedy, the longtime PA announcer for Ohio State football and several other sports, died Sunday at 59 years old.","30 Apr 2023
by Chase Brown
35 COMMENTS"
YOU GOTTA HAVE FAITH,"The Houston Texans made the right call to draft C.J. Stroud with the second pick in the NFL Draft, but that required them to ignore a lot of noise.","30 Apr 2023
by Johnny Ginter
11 COMMENTS"
2023 NFL DRAFT CENTRAL,"Eleven Warriors' complete coverage of the 2023 NFL draft featuring updated picks, reactions and storylines.","27 Apr 2023
by Chase Brown
42 COMMENTS"
SAINTS SIGN JERRON CAGE,Former Ohio State defensive tackle Jerron Cage is joining the New Orleans Saints as an undrafted free agent.,"29 Apr 2023
by Garrick Hodge
12 COMMENTS"
SIX BUCKEYES DRAFTED FOR 2ND STRAIGHT YEAR,Ohio State had exactly six total players drafted with only one defensive player selected for the second year in a row.,"29 Apr 2023
by Dan Hope
54 COMMENTS"
CHARGERS SIGN CAM BROWN,Former Ohio State cornerback Cam Brown will get his chance to compete for an NFL roster spot after signing with the Los Angeles Chargers as an undrafted free agent.,"29 Apr 2023
by Garrick Hodge
10 COMMENTS"
LORENZO STYLES COMING HOME,"Lorenzo Styles is transferring to Ohio State as a cornerback, joining his younger brother Sonny in the Buckeyes’ secondary, after two years as a wide receiver at Notre Dame.","29 Apr 2023
by Dan Hope
84 COMMENTS"
BROWNS SIGN HICKMAN,"Ronnie Hickman didn't get selected in the 2023 NFL draft, but he'll have a chance to make an NFL roster with the Cleveland Browns nonetheless.","29 Apr 2023
by Chase Brown
26 COMMENTS"
BROWNS SIGN MCCALISTER,Former Ohio State safety Tanner McCalister signs with the Cleveland Browns as an undrafted free agent.,"29 Apr 2023
by Dan Hope
13 COMMENTS"
BROWNS DRAFT LUKE WYPLER,"Former Ohio State center Luke Wypler goes to the Cleveland Browns as the No. 190 overall pick, joining fellow Buckeye offensive lineman Dawand Jones in Cleveland.","29 Apr 2023
by Griffin Strom
72 COMMENTS"
RYAN DAY GIVES THANKS TO FORMER PLAYERS,"From C.J. Stroud to Zach Harrison, Ohio State head coach Ryan Day thanked some of his former players before the NFL draft started on Thursday.","27 Apr 2023
by Chase Brown
14 COMMENTS"
