game_id,school,conference,homeAway,points,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401413256,UNLV,Mountain West,home,52,26-35,0,23,1-2,0,0,0,47,0,0,66,2,10,405,2,1,5,30:24,0,16,2,0,33,2,149,4,5,4,6-12,,7-65,554,0,11.6,4.5
401413257,Idaho State,Big Sky,away,7,24-40,0,14,0-2,0,4,,,0,0,20,1,1,258,1,,1,30:40,,,,0,33,0,80,0,41,6,6-19,1,7-50,338,0,6.5,2.4
401413257,San Diego State,Mountain West,home,38,15-26,1,19,2-2,2,0,,,0,0,57,2,8,108,6,,1,29:20,1,73,7,0,43,3,380,2,42,9,5-14,5,8-65,488,2,4.2,8.8
401413258,Central Arkansas,Atlantic Sun,away,31,24-29,,17,0-1,1,1,0,10,0,0,19,1,7,259,,2,1,27:32,0,4,1,,36,2,159,,,,7-15,2,7-67,418,1,8.9,4.4
401413258,Idaho State,Big Sky,home,16,25-36,,22,1-2,1,1,,,2,0,67,2,4,284,,,0,32:28,,,,,38,2,124,,,,6-15,2,8-70,408,3,7.9,3.3
401413259,Idaho State,Big Sky,away,14,27-40,,22,2-5,1,0,,,1,,,,2,282,,,2,29:34,0,-7,1,,29,0,141,,,,3-11,1,5-45,423,2,7.1,4.9
401413259,Northern Colorado,Big Sky,home,35,23-28,,23,2-2,1,2,0,0,0,,,,5,234,,1,1,30:26,0,87,2,,41,2,150,,,,7-14,2,4-35,384,1,8.4,3.7
401413260,Idaho State,Big Sky,home,20,23-44,,21,2-4,0,1,0,20,1,0,43,3,8,260,,1,1,32:31,,,,,38,1,121,,,,6-19,2,8-53,381,1,5.9,3.2
401413260,Montana,Big Sky,away,28,20-33,,27,0-2,2,0,0,25,1,0,20,2,4,208,,1,2,27:29,,,,,42,2,246,,,,6-12,2,3-35,454,3,6.3,5.9
401413261,Idaho State,Big Sky,away,6,16-23,,13,0-1,3,0,,,3,0,17,1,0,173,,,1,19:59,,,,,24,0,81,,,,3-10,4,2-20,254,6,7.5,3.4
401413261,Montana State,Big Sky,home,37,24-30,,31,2-3,0,6,0,46,0,0,22,1,13,210,,3,0,40:01,,,,,52,4,255,,,,7-14,1,3-25,465,0,7.0,4.9
401413262,Idaho State,Big Sky,home,10,22-37,,21,1-3,0,0,0,0,1,,,,4,216,,1,1,34:40,0,10,1,,44,0,158,,,,12-21,1,4-40,374,1,5.8,3.6
401413262,Northern Arizona,Big Sky,away,24,23-27,,20,2-2,0,0,0,22,1,0,53,2,6,172,,1,1,25:20,,,,,32,2,125,,,,7-15,,4-35,297,1,6.4,3.9
401413263,Idaho State,Big Sky,away,3,9-23,,9,0-0,2,2,0,-4,1,0,14,2,3,80,,1,0,21:57,0,11,1,,28,0,70,,,,5-14,2,3-25,150,3,3.5,2.5
401413263,UC Davis,Big Sky,home,43,29-37,,30,3-3,1,4,0,0,1,0,25,1,13,320,,1,2,38:03,0,-2,1,,54,3,223,,,,7-15,2,5-40,543,2,8.6,4.1
401413264,Idaho State,Big Sky,away,7,14-26,,17,0-1,1,0,,,2,0,5,2,1,76,,,1,32:53,,,,,42,0,154,,,,4-15,2,3-17,230,3,2.9,3.7
401413264,Weber State,Big Sky,home,45,23-36,,26,1-3,0,1,0,15,0,0,57,2,9,249,,2,2,27:07,0,-2,2,,38,3,206,,,,8-16,0,5-45,455,0,6.9,5.4
401413333,Montana,Big Sky,home,47,19-29,,24,1-3,0,3,0,47,0,,,,5,253,,2,4,28:13,1,97,5,,42,2,211,,,,7-15,1,6-55,464,0,8.7,5.0
401413333,Northwestern State,Southland,away,0,29-42,,16,1-2,3,0,,,2,0,82,4,,183,,,0,31:47,0,15,1,,33,0,36,,,,4-16,4,10-110,219,5,4.4,1.1
